118459,3,6,1,25800,1
105594,3,2,1,25800,1
120396,3,3,2,25800,0
123469,1,10,1,25800,1
115639,1,11,4,0,0
123107,3,2,3,64600,0
120170,3,2,104,64600,0
110947,1,12,7,0,1
120671,1,2,1,26100,0
105793,1,2,7,26100,0
122091,1,2,13,12900,0
104499,4,2,1,7900,1
106693,4,2,2,7900,1
118908,4,2,3,7900,1
120964,4,2,2,7900,0
114644,4,2,3,15700,0
130261,4,2,1,0,1
121202,4,2,1,15700,1
131950,4,3,1,15700,0
118492,6,13,5,18100,0
123357,1,14,14,0,1
106978,3,16,105,58100,0
101771,1,2,15,0,0
103652,1,2,30,0,0
120850,1,17,9,0,0
107378,1,18,10,0,1
